City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
289,Lavumisa,SZ,74.21,overcast clouds,-27.31,31.892,ROADSIDE B&B
290,Sao Miguel Do Araguaia,BR,90.63,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
291,Kidal,ML,99.37,overcast clouds,18.4411,1.4078,
292,Kutum,SD,87.78,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
293,Khudumelapye,BW,71.17,overcast clouds,-23.8833,24.75,
294,Moerai,PF,70.07,light rain,-22.4333,-151.3333,Le Manotel
295,Louis Trichardt,ZA,68.23,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
296,Sao Filipe,CV,79.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
297,Valverde Del Camino,ES,76.84,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
298,Santa Catalina,PH,79.36,scattered clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
299,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
300,Panji,ID,80.85,overcast clouds,-7.7253,114.0995,Rumah andre
301,Port Moresby,PG,77.47,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
302,Bulawayo,ZW,78.53,few clouds,-20.15,28.5833,4 On Housman Backpackers
303,Susangerd,IR,91.42,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
304,Lazaro Cardenas,MX,74.66,clear sky,17.9583,-102.2,quinta antigua
305,Jaisalmer,IN,85.41,clear sky,26.9147,70.9181,Hotel Fifu
306,Kokopo,PG,78.57,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
307,Tessalit,ML,96.96,broken clouds,20.1986,1.0114,
308,Pandegelang,ID,80.65,overcast clouds,-6.31,106.1058,Rizki Hotel & Resto
309,Ruwi,OM,82.09,clear sky,23.5996,58.5507,Al Falaj Hotel
310,Dalby,AU,70.99,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
311,Santa Cruz,BO,89.65,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
312,Siparia,TT,81.79,overcast clouds,10.1333,-61.5,Brook Gardens
313,Magdalena,PH,81.79,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
